,Missing States
0,Colorado
1,Connecticut
2,Idaho
3,Illinois
4,Indiana
5,Iowa
6,Kansas
7,Kentucky
8,Louisiana
9,Maine
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nevada
18,New Hampshire
19,New Mexico
20,North Dakota
21,Pennsylvania
22,Rhode Island
23,South Dakota
24,Tennessee
25,Utah
26,Vermont
27,West Virginia
28,Wisconsin
29,Wyoming
